Date,dia,Quantity,Rate,Value,t,t_square,log_Quantity,April,August,December,February,January,July,June,March,May,November,October,September
2017-04-22,12 MM,0.99,42200.0,41778.0,0,0,-0.01005033585350145,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-22,12 MM,1.15,42200.0,48530.0,0,0,0.13976194237515863,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,5.82,42800.0,249096.0,0,0,1.7613002617433464,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,4.09,42200.0,172598.0,0,0,1.4085449700547104,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,2.08,42700.0,88816.0,0,0,0.7323678937132266,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,10.190000000000001,42700.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,3.0,42200.0,126600.0,0,0,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,10.190000000000001,42000.0,445620.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,10.190000000000001,40050.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,10.190000000000001,40050.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-24,12 MM,-2.08,42700.0,-88816.0,0,0,,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-25,12 MM,2.98,43000.0,128140.0,0,0,1.091923300517313,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-25,12 MM,10.190000000000001,40500.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-25,12 MM,2.06,42200.0,86932.0,0,0,0.7227059828014898,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-25,12 MM,3.93,42200.0,165846.0,0,0,1.3686394258811698,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-26,12 MM,3.93,43000.0,168990.0,0,0,1.3686394258811698,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-26,12 MM,2.0,42400.0,84800.0,0,0,0.6931471805599453,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-26,12 MM,5.29,42000.0,222180.0,0,0,1.665818245870208,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-26,12 MM,10.190000000000001,42700.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-26,12 MM,4.73,42200.0,199606.0,0,0,1.5539252025038417,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-27,12 MM,2.86,42200.0,120692.0,0,0,1.0508216248317612,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,4.98,44700.0,222606.0,0,0,1.6054298910365616,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,0.51,42500.0,21675.0,0,0,-0.6733445532637656,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,3.01,42200.0,127022.0,0,0,1.1019400787607843,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,2.08,41500.0,86320.0,0,0,0.7323678937132266,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,1.0,42500.0,42500.0,0,0,0.0,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,9.48,41000.0,388680.0,0,0,2.2491843162669305,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,2.99,41200.0,123188.0,0,0,1.095273387402595,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-28,12 MM,5.26,44500.0,234070.0,0,0,1.6601310267496185,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,3.08,42200.0,129976.0,0,0,1.1249295969854831,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,2.02,40650.0,82113.0,0,0,0.7030975114131134,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,5.51,42300.0,233073.0,0,0,1.706564623164823,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,5.5,42000.0,231000.0,0,0,1.7047480922384253,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,10.190000000000001,41000.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,10.190000000000001,40500.0,442665.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-29,12 MM,10.190000000000001,40650.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,10.190000000000001,41400.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,10.190000000000001,41400.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,2.04,40650.0,82926.0,0,0,0.712949807856125,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,1.02,42200.0,43044.0,0,0,0.01980262729617973,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,3.05,43000.0,131150.0,0,0,1.1151415906193203,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,10.190000000000001,41000.0,555690.0,0,0,2.3214068472346336,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,5.2,41000.0,213200.0,0,0,1.6486586255873816,True,False,False,False,False,False,False,False,False,False,False,False
2017-04-30,12 MM,2.97,42200.0,125334.0,0,0,1.0885619528146082,True,False,False,False,False,False,False,False,False,False,False,False
2017-05-02,12 MM,5.23,41904.76,219161.89,0,0,1.6544112780768316,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-02,12 MM,3.12,42000.0,131040.0,0,0,1.1378330018213911,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-02,12 MM,0.99,42200.0,41778.0,0,0,-0.01005033585350145,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-02,12 MM,2.77,44700.0,123819.0,0,0,1.0188473201992472,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-03,12 MM,1.52,42200.0,64144.0,1,1,0.41871033485818504,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-03,12 MM,10.190000000000001,39700.0,412880.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-03,12 MM,1.02,42200.0,43044.0,1,1,0.01980262729617973,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-04,12 MM,10.190000000000001,39949.05,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-05,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-05,12 MM,1.02,42200.0,43044.0,1,1,0.01980262729617973,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-05,12 MM,0.69,42200.0,29118.0,1,1,-0.37106368139083207,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-06,12 MM,5.46,42000.0,229320.0,1,1,1.6974487897568136,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-06,12 MM,5.03,42200.0,212266.0,1,1,1.6154199841116479,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-06,12 MM,2.56,42200.0,108032.0,1,1,0.9400072584914712,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-08,12 MM,0.46,42200.0,19412.0,1,1,-0.7765287894989963,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-08,12 MM,2.02,42200.0,85244.0,1,1,0.7030975114131134,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-08,12 MM,4.5,41750.0,187875.0,1,1,1.5040773967762742,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-08,12 MM,0.27,42000.0,11340.0,1,1,-1.3093333199837622,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-08,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-08,12 MM,10.190000000000001,39949.05,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-09,12 MM,6.03,43000.0,259290.0,1,1,1.7967470107390942,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-09,12 MM,9.62,42300.0,406926.0,1,1,2.263844264677615,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-09,12 MM,4.06,43000.0,174580.0,1,1,1.4011829736136412,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-10,12 MM,10.190000000000001,40400.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-10,12 MM,6.45,39190.48,252778.6,1,1,1.864080130807681,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-10,12 MM,4.03,42200.0,170066.0,1,1,1.3937663759585917,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-10,12 MM,2.52,42200.0,106344.0,1,1,0.9242589015233319,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-10,12 MM,5.32,40300.0,214396.0,1,1,1.6714733033535532,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-10,12 MM,4.1,41500.0,170150.0,1,1,1.410986973710262,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-11,12 MM,1.02,42200.0,43044.0,1,1,0.01980262729617973,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-11,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-11,12 MM,8.65,42000.0,363300.0,1,1,2.157559320943788,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-12,12 MM,4.95,43000.0,212850.0,1,1,1.599387576580599,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-12,12 MM,10.190000000000001,42000.0,443520.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-13,12 MM,3.95,43000.0,169850.0,1,1,1.3737155789130306,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-13,12 MM,10.190000000000001,39949.05,494169.75,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-13,12 MM,5.4,42000.0,226800.0,1,1,1.6863989535702288,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-13,12 MM,5.39,42000.0,226380.0,1,1,1.6845453849209058,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-13,12 MM,4.2,42200.0,177240.0,1,1,1.4350845252893227,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-13,12 MM,2.03,42200.0,85666.0,1,1,0.7080357930536959,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-15,12 MM,1.01,42200.0,42622.0,1,1,0.009950330853168092,False,False,False,False,False,False,False,False,True,False,False,False
