Date,Quantity
22-06-2017,2.42
22-06-2017,2.02
22-06-2017,3.13
22-06-2017,10.19
22-06-2017,5.46
23-06-2017,1.53
23-06-2017,7.18
23-06-2017,0.68
23-06-2017,10.19
24-06-2017,1.08
26-06-2017,2.06
27-06-2017,10.19
27-06-2017,4.27
27-06-2017,10.19
28-06-2017,1.07
28-06-2017,3.58
28-06-2017,4.3
28-06-2017,10.19
29-06-2017,5
29-06-2017,4.03
29-06-2017,10.19
30-06-2017,10.19
30-06-2017,2.54
30-06-2017,1.9
30-06-2017,3.02
30-06-2017,10.19
11-04-2017,2
22-04-2017,4.88
25-04-2017,1.658
27-04-2017,4.97
29-04-2017,1.32
15-05-2017,3.05
18-05-2017,2
18-05-2017,6.5
23-05-2017,1.426
10-06-2017,1.59
19-06-2017,0.305
21-06-2017,1.669
23-06-2017,1.66
23-06-2017,4.825
04-07-2017,10.19
05-07-2017,10.19
05-07-2017,10.19
06-07-2017,2.97
06-07-2017,2.01
06-07-2017,5.31
07-07-2017,2.02
07-07-2017,10.19
07-07-2017,4.09
08-07-2017,5.42
08-07-2017,10.19
08-07-2017,2.52
08-07-2017,1.85
08-07-2017,2.55
10-07-2017,1.52
10-07-2017,10.19
10-07-2017,10.19
10-07-2017,1.87
10-07-2017,6.56
11-07-2017,2.2
11-07-2017,3.01
11-07-2017,3.25
12-07-2017,2.02
12-07-2017,2.97
13-07-2017,10.19
13-07-2017,2.03
13-07-2017,5.26
14-07-2017,2.02
14-07-2017,5.42
14-07-2017,0.5
15-07-2017,7.03
15-07-2017,3.03
15-07-2017,2
17-07-2017,6.1
17-07-2017,5.32
17-07-2017,0.32
17-07-2017,10.19
18-07-2017,1.01
18-07-2017,4.24
20-07-2017,5
20-07-2017,5.3
20-07-2017,2.21
21-07-2017,10.19
21-07-2017,2.98
22-07-2017,5.13
24-07-2017,5.1
24-07-2017,1.51
25-07-2017,0.33
26-07-2017,1.65
26-07-2017,2.05
27-07-2017,5.25
27-07-2017,1.51
28-07-2017,10.19
29-07-2017,3.01
29-07-2017,3.54
29-07-2017,3.93
29-07-2017,3.84
31-07-2017,2.87
31-07-2017,2.1
31-07-2017,0.5
31-07-2017,1.86
02-08-2017,4.12
02-08-2017,0.57
03-08-2017,4.17
03-08-2017,10.19
03-08-2017,5.34
03-08-2017,3.79
04-08-2017,0.25
04-08-2017,10.19
07-08-2017,3.03
07-08-2017,2.11
09-08-2017,10.19
09-08-2017,0.2
10-08-2017,2.03
10-08-2017,1.49
10-08-2017,2.1
10-08-2017,10.19
10-08-2017,0.014
11-08-2017,2.01
11-08-2017,10.19
12-08-2017,3.12
12-08-2017,2.06
14-08-2017,2.04
14-08-2017,5.05
14-08-2017,10.19
16-08-2017,1.01
16-08-2017,10.19
17-08-2017,1.59
17-08-2017,1.1
17-08-2017,4.05
17-08-2017,2
17-08-2017,3.88
17-08-2017,3.99
18-08-2017,3.78
18-08-2017,1.63
18-08-2017,0.5
19-08-2017,2.01
19-08-2017,7.96
19-08-2017,2.02
19-08-2017,5.22
19-08-2017,10.19
19-08-2017,1.51
19-08-2017,1.75
19-08-2017,5.27
21-08-2017,10.19
21-08-2017,1.62
21-08-2017,5.11
21-08-2017,1.01
21-08-2017,3.22
22-08-2017,5.1
22-08-2017,2.09
22-08-2017,4.52
22-08-2017,10.19
22-08-2017,10.19
23-08-2017,5.12
23-08-2017,0.51
23-08-2017,0.17
24-08-2017,10.19
24-08-2017,1.91
24-08-2017,5.28
24-08-2017,1.99
26-08-2017,10.19
26-08-2017,5.02
26-08-2017,3.99
26-08-2017,2.01
26-08-2017,0.07
28-08-2017,10.19
28-08-2017,0.66
28-08-2017,4.07
29-08-2017,5.02
29-08-2017,2.52
29-08-2017,10.19
29-08-2017,3.89
30-08-2017,10.19
30-08-2017,1.02
30-08-2017,1.25
30-08-2017,0.5
30-08-2017,0.49
30-08-2017,5.39
30-08-2017,0.99
30-08-2017,1.99
30-08-2017,4.01
30-08-2017,5.34
31-08-2017,1.97
31-08-2017,4.23
31-08-2017,1
31-08-2017,0.98
31-08-2017,10.19
31-08-2017,5.51
01-09-2017,6.8
02-09-2017,10.19
02-09-2017,0.69
04-09-2017,7.96
05-09-2017,8.48
06-09-2017,10.19
07-09-2017,5.01
07-09-2017,2.18
07-09-2017,1.09
07-09-2017,10.19
08-09-2017,0.5
08-09-2017,1.84
08-09-2017,2.91
09-09-2017,1.5
09-09-2017,0.17
09-09-2017,5.33
09-09-2017,0.43
11-09-2017,9.34
12-09-2017,6.04
12-09-2017,2.02
13-09-2017,3.98
14-09-2017,3.02
14-09-2017,5.02
14-09-2017,2
14-09-2017,3.96
14-09-2017,1.01
14-09-2017,0.5
14-09-2017,0.75
14-09-2017,1.52
15-09-2017,5.32
16-09-2017,4.03
16-09-2017,1.6
16-09-2017,2.01
16-09-2017,7.74
16-09-2017,4.07
18-09-2017,1.01
19-09-2017,2.4
19-09-2017,0.99
19-09-2017,10.19
20-09-2017,1.47
20-09-2017,1.97
20-09-2017,1.94
20-09-2017,1
20-09-2017,10.18
20-09-2017,10.19
21-09-2017,1.93
21-09-2017,4.1
22-09-2017,10.19
22-09-2017,1.49
22-09-2017,3.99
23-09-2017,3.01
23-09-2017,5.05
23-09-2017,3
23-09-2017,4.01
23-09-2017,10.19
23-09-2017,10.19
23-09-2017,10.19
23-09-2017,5.28
25-09-2017,3.99
25-09-2017,10.19
25-09-2017,5.33
25-09-2017,5.35
25-09-2017,10.19
26-09-2017,3.77
26-09-2017,10.19
26-09-2017,10.19
26-09-2017,5.21
26-09-2017,3.79
26-09-2017,3.46
26-09-2017,1.98
26-09-2017,3
27-09-2017,1
27-09-2017,6.97
27-09-2017,2.01
27-09-2017,2.94
27-09-2017,8.07
03-10-2017,1.5
04-10-2017,0.42
05-10-2017,7.98
07-10-2017,2.03
07-10-2017,3
07-10-2017,3.87
09-10-2017,2.99
09-10-2017,3.59
09-10-2017,2.07
09-10-2017,0.99
09-10-2017,4.5
10-10-2017,2.43
11-10-2017,10.19
11-10-2017,0.99
11-10-2017,4.09
11-10-2017,5.4
11-10-2017,10.19
12-10-2017,1.02
12-10-2017,4
12-10-2017,2.6
12-10-2017,2.9
12-10-2017,2.99
13-10-2017,4.5
13-10-2017,5.91
14-10-2017,3.16
14-10-2017,5.29
14-10-2017,5.03
14-10-2017,10.19
14-10-2017,0.5
16-10-2017,2.03
16-10-2017,2.03
16-10-2017,4.99
16-10-2017,3.25
16-10-2017,3.53
16-10-2017,2.03
16-10-2017,3.01
17-10-2017,5.37
17-10-2017,10.19
17-10-2017,10.19
18-10-2017,3.56
18-10-2017,3.89
18-10-2017,3.62
20-10-2017,5.38
20-10-2017,3.99
21-10-2017,4.02
23-10-2017,1.99
23-10-2017,3.87
24-10-2017,0.16
24-10-2017,1.49
24-10-2017,10.19
24-10-2017,10.19
24-10-2017,10.19
25-10-2017,3.87
25-10-2017,2.39
25-10-2017,5.29
25-10-2017,3.91
25-10-2017,10.19
25-10-2017,5.34
25-10-2017,5.24
26-10-2017,3.08
26-10-2017,10.19
26-10-2017,5.27
26-10-2017,5.03
26-10-2017,10.19
27-10-2017,3.03
27-10-2017,2.11
27-10-2017,3.1
27-10-2017,4.92
27-10-2017,3.01
27-10-2017,4.04
27-10-2017,1.35
27-10-2017,10.19
27-10-2017,10.19
27-10-2017,2.018
27-10-2017,3.11
28-10-2017,4.02
28-10-2017,2.035
28-10-2017,3.93
28-10-2017,5.36
30-10-2017,10.19
30-10-2017,2.03
30-10-2017,0.25
30-10-2017,2.35
30-10-2017,9.15
30-10-2017,2.08
30-10-2017,6.06
31-10-2017,5.27
31-10-2017,6.22
31-10-2017,5.41
31-10-2017,1.01
31-10-2017,3.1
31-10-2017,5.3
31-10-2017,2.08
31-10-2017,10.19
02-11-2017,2.95
02-11-2017,1.01
02-11-2017,9.04
02-11-2017,10.19
02-11-2017,3.96
02-11-2017,2.02
02-11-2017,2.02
02-11-2017,1.09
02-11-2017,0.51
03-11-2017,1.012
03-11-2017,2.53
03-11-2017,3.02
03-11-2017,0.58
03-11-2017,0.76
03-11-2017,6.63
03-11-2017,3.52
03-11-2017,1
03-11-2017,2.94
04-11-2017,10.19
04-11-2017,5.34
04-11-2017,1.69
06-11-2017,5.32
06-11-2017,3.69
06-11-2017,1.44
06-11-2017,1.01
07-11-2017,5.42
07-11-2017,4.37
08-11-2017,1.51
08-11-2017,0.26
08-11-2017,3.12
08-11-2017,1.52
10-11-2017,10.19
10-11-2017,5.17
10-11-2017,3.71
10-11-2017,1.008
10-11-2017,1.055
11-11-2017,10.19
11-11-2017,10.19
11-11-2017,1
11-11-2017,1.01
11-11-2017,5.31
11-11-2017,2
11-11-2017,2.01
13-11-2017,3.03
13-11-2017,5.54
13-11-2017,4.03
14-11-2017,0.25
14-11-2017,1.007
15-11-2017,2.89
15-11-2017,3.01
17-11-2017,5.12
17-11-2017,0.84
18-11-2017,10.19
18-11-2017,0.58
18-11-2017,1.41
21-11-2017,4.02
21-11-2017,10.19
22-11-2017,2.02
22-11-2017,0.84
22-11-2017,1.07
23-11-2017,5.04
23-11-2017,0.25
24-11-2017,5.02
24-11-2017,3.86
24-11-2017,10.19
25-11-2017,5.39
25-11-2017,3.46
25-11-2017,10.19
25-11-2017,2.02
25-11-2017,4.05
25-11-2017,3.93
25-11-2017,5.31
27-11-2017,3.96
27-11-2017,3.88
28-11-2017,4.06
28-11-2017,4.4
28-11-2017,10.19
28-11-2017,2.03
28-11-2017,10.19
29-11-2017,5.3
29-11-2017,0.52
29-11-2017,10.19
29-11-2017,5.31
29-11-2017,1.011
29-11-2017,0.59
30-11-2017,5.26
30-11-2017,10.19
30-11-2017,3.37
30-11-2017,10.19
30-11-2017,10.19
30-11-2017,10.19
30-11-2017,10.19
01-12-2017,3.01
01-12-2017,5.31
01-12-2017,1.1
01-12-2017,5.14
01-12-2017,3
02-12-2017,2.99
04-12-2017,10.19
04-12-2017,3.53
04-12-2017,10.19
04-12-2017,5.37
04-12-2017,2.02
04-12-2017,1.02
06-12-2017,2.51
06-12-2017,0.39
06-12-2017,0.25
06-12-2017,5
06-12-2017,10.19
07-12-2017,5.25
08-12-2017,2.93
09-12-2017,2.02
09-12-2017,2.01
11-12-2017,2
11-12-2017,10.19
12-12-2017,2.18
13-12-2017,0.922
13-12-2017,2.03
13-12-2017,1.51
13-12-2017,3
14-12-2017,2.92
14-12-2017,10.19
15-12-2017,3.76
15-12-2017,10.19
15-12-2017,3
15-12-2017,0.5
15-12-2017,2.01
15-12-2017,2.02
16-12-2017,9.2
16-12-2017,1.09
16-12-2017,9.32
16-12-2017,10.19
16-12-2017,5.33
18-12-2017,10.19
18-12-2017,5.08
19-12-2017,6.02
19-12-2017,6.11
19-12-2017,10.19
20-12-2017,5.23
20-12-2017,10.19
20-12-2017,10.19
20-12-2017,10.19
21-12-2017,2.09
21-12-2017,5.05
21-12-2017,4.04
21-12-2017,3.1
21-12-2017,10.19
21-12-2017,3.03
21-12-2017,2.1
21-12-2017,1.02
22-12-2017,2.06
22-12-2017,5.38
22-12-2017,10.19
22-12-2017,2.01
22-12-2017,3.02
22-12-2017,4.25
22-12-2017,4.122
23-12-2017,2.93
23-12-2017,3.04
23-12-2017,4.02
23-12-2017,5.59
23-12-2017,10.19
23-12-2017,10.19
23-12-2017,10.09
23-12-2017,5.53
23-12-2017,5.28
23-12-2017,6.01
23-12-2017,3.03
26-12-2017,7.99
26-12-2017,4.1
27-12-2017,10.19
27-12-2017,5.31
27-12-2017,3.2
27-12-2017,1.472
27-12-2017,5.96
27-12-2017,5.36
28-12-2017,4.95
28-12-2017,10.19
28-12-2017,10.19
28-12-2017,4.08
28-12-2017,4.58
29-12-2017,3.98
29-12-2017,10.19
29-12-2017,7.23
30-12-2017,2.93
30-12-2017,9.23
05-01-2018,0.34
06-01-2018,1.495
08-01-2018,1.99
08-01-2018,7.24
08-01-2018,5.22
08-01-2018,5.42
09-01-2018,2.94
09-01-2018,5.05
09-01-2018,5.33
10-01-2018,2.02
10-01-2018,3.04
11-01-2018,5.31
13-01-2018,2.04
15-01-2018,1.01
15-01-2018,2.11
16-01-2018,5.31
16-01-2018,5.37
16-01-2018,3.53
16-01-2018,2.02
16-01-2018,9.89
17-01-2018,1.08
17-01-2018,0.76
17-01-2018,5.24
17-01-2018,1.6
18-01-2018,2.03
18-01-2018,1.003
18-01-2018,1.985
19-01-2018,5.34
20-01-2018,7.02
20-01-2018,2.2
20-01-2018,6
20-01-2018,10.19
22-01-2018,3.03
22-01-2018,5.07
22-01-2018,5.29
22-01-2018,10.19
22-01-2018,5.22
22-01-2018,5.31
23-01-2018,3.47
23-01-2018,10.19
23-01-2018,10.19
25-01-2018,1.42
25-01-2018,0.59
25-01-2018,10.19
25-01-2018,10.19
25-01-2018,5.35
25-01-2018,10.19
25-01-2018,0.42
27-01-2018,1.011
27-01-2018,9.09
27-01-2018,2
27-01-2018,10.19
27-01-2018,10.19
27-01-2018,10.19
27-01-2018,4.04
27-01-2018,1.495
27-01-2018,5.26
29-01-2018,10.19
29-01-2018,2.93
29-01-2018,10.19
29-01-2018,10.19
29-01-2018,10.19
30-01-2018,0.5
30-01-2018,4.11
30-01-2018,2.03
30-01-2018,2
30-01-2018,6.53
30-01-2018,5.3
31-01-2018,4
31-01-2018,0.93
31-01-2018,5.22
31-01-2018,4.96
31-01-2018,5.34
01-02-2018,10.12
01-02-2018,9.36
01-02-2018,1.502
01-02-2018,10.19
01-02-2018,1.68
03-02-2018,4
06-02-2018,0.49
07-02-2018,4.98
07-02-2018,6.12
08-02-2018,0.58
08-02-2018,0.5
08-02-2018,0.51
