Date,FY,Quantity,Value,April,August,December,February,January,July,June,March,May,November,October,September,t,t_square,log_Quantity
2017-04-24,FY 18,21.58,921466.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.0717669598299886
2017-04-24,FY 18,3.0,126600.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.0986122886681098
2017-04-24,FY 18,10.61,445620.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.3617969526258915
2017-04-24,FY 18,25.43,1018471.5,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.2359295794340284
2017-04-24,FY 18,27.37,1096168.5,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.309447523052588
2017-04-24,FY 18,-2.08,-88816.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.009950330853168092
2017-04-25,FY 18,2.98,128140.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.091923300517313
2017-04-25,FY 18,28.59,1157895.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.3530570063342204
2017-04-25,FY 18,2.06,86932.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.7227059828014898
2017-04-25,FY 18,3.93,165846.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3686394258811698
2017-04-26,FY 18,3.93,168990.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3686394258811698
2017-04-26,FY 18,2.0,84800.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6931471805599453
2017-04-26,FY 18,5.29,222180.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.665818245870208
2017-04-26,FY 18,25.82,1102514.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.2511493854184965
2017-04-26,FY 18,4.73,199606.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.5539252025038417
2017-04-27,FY 18,2.86,120692.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.0508216248317612
2017-04-28,FY 18,4.98,222606.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6054298910365616
2017-04-28,FY 18,0.51,21675.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,-0.6733445532637656
2017-04-28,FY 18,3.01,127022.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1019400787607843
2017-04-28,FY 18,2.08,86320.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.7323678937132266
2017-04-28,FY 18,1.0,42500.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.0
2017-04-28,FY 18,9.48,388680.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.2491843162669305
2017-04-28,FY 18,2.99,123188.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.095273387402595
2017-04-28,FY 18,5.26,234070.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6601310267496185
2017-04-29,FY 18,3.08,129976.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1249295969854831
2017-04-29,FY 18,2.02,82113.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.7030975114131134
2017-04-29,FY 18,5.51,233073.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.706564623164823
2017-04-29,FY 18,5.5,231000.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.7047480922384253
2017-04-29,FY 18,16.46,674860.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.800933195248924
2017-04-29,FY 18,10.93,442665.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.391511302188447
2017-04-29,FY 18,13.93,566254.5,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.6340447877917144
2017-04-30,FY 18,21.8,902520.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.0819099697950434
2017-04-30,FY 18,18.92,783288.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.9402195636237325
2017-04-30,FY 18,2.04,82926.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.712949807856125
2017-04-30,FY 18,1.02,43044.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.01980262729617973
2017-04-30,FY 18,3.05,131150.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1151415906193203
2017-04-30,FY 18,16.24,665840.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.787477334733532
