S.No,DateTime,Residue,Blaine,cem_type,C3A,C4AF,G-SO3,G-Moisture,FA-Blaine,Gypsum Weigh Feeder_TPH,Fly Ash SFF_TPH,Drive Power_MILL_KW,Separator_speed_RPM,Position_Master Roller1_mm,Counter Pressure_HLSM_mm,Hydraulic_pressure,Fan Power_Kw
2819,03-10-2022 07:30,23,349,Non Premium,7.34,12.83,42.35,0.7,306,3.7,60.53,3093.72,905,64.63,23.1,73.17,1277.38
2877,03-10-2022 08:28,21.4,341,Non Premium,7.34,12.83,42.35,0.7,306,3.64,64.72,3118.12,915,68.03,20.25,79.35,1264.35
2939,03-10-2022 09:30,20.7,337,Non Premium,7.34,12.83,42.35,0.7,306,3.46,60.02,3141.49,925,62.06,20.97,78.54,1283.1
2993,03-10-2022 10:24,21.2,332,Non Premium,7.34,12.83,42.35,0.7,306,3.71,63.15,3306.73,926,88.69,21.7,78.33,1270.84
3071,03-10-2022 11:42,22.5,341,Non Premium,7.34,12.83,42.35,0.7,306,3.75,63.84,2886.72,926,75.96,21.56,78.97,1270.54
3117,03-10-2022 12:28,21.2,341,Non Premium,7.34,12.83,42.35,0.7,306,3.63,63.56,3149.97,916,73.2,22.56,77.36,1272.59
3171,03-10-2022 13:22,24.6,335,Non Premium,7.34,12.83,42.35,0.7,306,3.68,63.92,3138.17,917,73.2,21.87,77.96,1270.4
3241,03-10-2022 14:32,18.8,342,Non Premium,7.34,12.83,42.35,0.7,306,3.61,61.64,3105.77,876,64.36,21.73,71.76,1279.89
3294,03-10-2022 15:25,19.1,339,Non Premium,7.34,12.83,42.35,0.7,306,3.49,63.9,3038.58,923,71.5,23.8,76.56,1257.1
3353,03-10-2022 16:24,18,333,Non Premium,7.34,12.83,42.35,0.7,306,3.76,64.95,3065.38,905,58.27,24.79,75.25,1256.32
3837,04-10-2022 00:28,20,349,Non Premium,7.53,12.77,42.35,0.7,304,3.52,58.61,3349.76,896,75.77,24.47,79.85,1247.65
3901,04-10-2022 01:32,21,343,Non Premium,7.53,12.77,42.35,0.7,304,3.86,62.7,3050.29,896,56.32,22.68,81.73,1258.58
3960,04-10-2022 02:31,21.4,340,Non Premium,7.53,12.77,42.35,0.7,,3.83,63.22,3187.01,896,92.96,22.02,80.61,1242.43
4027,04-10-2022 03:38,20.7,342,Non Premium,7.53,12.77,42.35,0.7,304,3.86,63.02,3080.61,897,84.38,22.98,81.84,1249.84
4077,04-10-2022 04:28,23.4,343,Non Premium,7.53,12.77,42.35,0.7,304,3.94,65.82,,876,91.94,22.52,79.49,1249.99
4121,04-10-2022 05:12,20.3,337,Non Premium,7.53,12.77,42.35,0.7,304,3.77,65.66,2891.65,897,71.23,21.83,81.26,1247.53
4199,04-10-2022 06:30,20.6,351,Non Premium,7.53,12.77,42.35,0.7,304,3.73,65.31,3241.7,896,70.63,22.48,76.6,1246.14
4259,04-10-2022 07:30,20.8,347,Non Premium,7.53,12.77,42.35,0.7,304,3.76,64.69,2944.52,886,85.92,22.3,79.33,1250.46
4335,04-10-2022 08:46,20.2,339,Non Premium,7.53,12.77,42.35,0.7,304,3.9,66.63,3089.96,896,63.51,21.41,79.74,1253.42
4377,04-10-2022 09:28,21.5,365,Non Premium,7.53,12.77,42.35,0.7,304,3.98,66.47,2974.93,896,62.89,21.65,79.97,1251.15
4431,04-10-2022 10:22,21.7,357,Non Premium,7.53,12.77,42.35,0.7,304,3.96,66.72,2972.72,856,50.69,21.22,78.69,1203.27
4503,04-10-2022 11:34,21,350,Non Premium,7.53,12.77,42.35,0.7,304,4.14,69.98,3052.49,856,81.07,20.88,80.49,1196.98
4555,04-10-2022 12:26,21.8,361,Non Premium,7.53,12.77,42.35,0.7,304,3.99,67.58,3161.84,866,71.11,23.78,76.54,1208.4
5281,05-10-2022 00:32,20.3,354,Non Premium,7.59,12.8,42.35,0.7,296,3.69,62.49,3272.79,896,75.98,23.78,71.04,1238.79
5369,05-10-2022 02:00,21,361,Non Premium,7.59,12.8,42.35,0.7,296,3.96,69.01,3142.89,896,63.97,22.66,82.22,1236.79
5397,05-10-2022 02:28,18.9,373,Non Premium,7.59,12.8,42.35,0.7,296,3.95,68.46,3145.33,896,51.67,21.52,82.41,1233.18
5453,05-10-2022 03:24,20.4,379,Non Premium,7.59,12.8,42.35,0.7,296,3.99,68.11,3128.93,896,66.1,21.19,82.57,1233.5
5511,05-10-2022 04:22,20.9,378,Non Premium,7.59,12.8,42.35,0.7,296,3.99,68.34,3132.26,896,55.66,20.84,82.5,1230.94
5582,05-10-2022 05:33,21.8,363,Non Premium,7.59,12.8,42.35,0.7,296,3.98,68.18,2284.22,897,99.79,20.39,85.38,1254.96
5633,05-10-2022 06:24,21.5,356,Non Premium,7.59,12.8,42.35,0.7,296,3.97,66.75,2868.77,875,76.43,20.2,80.74,1231.01
5701,05-10-2022 07:32,21.2,361,Non Premium,7.59,12.8,42.35,0.7,296,3.63,64.18,3010.49,886,87.51,23,69.95,1240.56
5751,05-10-2022 08:22,22.9,353,Non Premium,7.59,12.8,42.35,0.7,296,3.7,60.82,3106.06,865,89.5,22.87,74.81,1262.79
5821,05-10-2022 09:32,22.5,346,Non Premium,7.59,12.8,42.35,0.7,296,3.77,64.8,2934.99,876,80.26,21.91,80.43,1256.45
5874,05-10-2022 10:25,17.8,359,Premium,7.59,12.8,42.35,0.7,296,3.71,64.66,3109.52,926,59.06,22.1,79.48,1241.45
5949,05-10-2022 11:40,18,358,Premium,7.59,12.8,42.35,0.7,296,3.67,58.38,3191.78,926,65.54,23.35,76.34,1245.36
6048,05-10-2022 13:31,18.3,327,Premium,7.59,12.8,42.35,0.7,296,3.41,56.32,3020.35,876,60.67,20.46,80.67,1265.78
6106,05-10-2022 14:29,22.4,313,Premium,7.59,12.8,42.35,0.7,296,3.31,56.18,3194.87,876,70.99,21.12,80.39,1240.16
6167,05-10-2022 15:30,21.1,337,Premium,7.59,12.8,42.35,0.7,296,3.5,57.93,3085.13,846,72.08,21.01,80.34,1234.55
6227,05-10-2022 16:30,19.6,328,Premium,7.59,12.8,42.35,0.7,296,3.55,59.01,3263.05,875,69.45,22.22,79.24,1237.94
6287,05-10-2022 17:30,19.8,333,Premium,7.59,12.8,42.35,0.7,296,3.64,60.36,3188.75,896,72.68,21.81,80.46,1237.01
6349,05-10-2022 18:32,21,337,Premium,7.59,12.8,42.35,0.7,296,3.51,61.4,3139.17,876,62.33,22,80.45,1252.86
6405,05-10-2022 19:28,22.3,317,Premium,7.59,12.8,42.35,0.7,296,3.56,58.79,3102.58,847,65.19,20.87,81.3,1252.76
6467,05-10-2022 20:30,23.2,323,Non Premium,7.59,12.8,42.35,0.7,296,3.64,61.08,3112.43,846,70.66,22.33,80.74,1225.2
6765,07-10-2022 01:28,22.2,357,Non Premium,7.23,12.68,42.35,0.7,300,3.59,59.2,3234.19,806,78.94,23.63,78.83,1241.67
6825,07-10-2022 02:28,23,358,Non Premium,7.23,12.68,42.35,0.7,300,3.59,60.16,3185.75,825,52.12,21.43,82.33,1271.5
6877,07-10-2022 03:20,22.2,365,Non Premium,7.23,12.68,42.35,0.7,300,3.51,61.08,3002.01,826,46.65,22.57,81.59,1279.14
6949,07-10-2022 04:32,21.8,370,Non Premium,7.23,12.68,42.35,0.7,300,3.69,65.43,3115.76,825,55.14,21.87,83.04,1260.35
7003,07-10-2022 05:26,22.1,348,Non Premium,7.23,12.68,42.35,0.7,300,3.69,65.46,3186.14,826,62.83,22.81,79.86,1248.34
7065,07-10-2022 06:28,22.4,356,Non Premium,7.23,12.68,42.35,0.7,300,3.76,63.66,3201.71,856,51.73,21.76,82.42,1248.64
7129,07-10-2022 07:32,20,363,Premium,7.23,12.68,42.35,0.7,300,3.54,59.03,3240.85,925,58.35,21.09,83.07,1219.7
7192,07-10-2022 08:35,20.1,364,Premium,7.23,12.68,42.35,0.7,300,3.38,55.96,3090.75,945,52.49,20.67,84.3,1251.68
7247,07-10-2022 09:30,17.9,354,Premium,7.23,12.68,42.35,0.7,300,3.52,59.62,3146.14,946,49.88,20.68,84.8,1242.87
7307,07-10-2022 10:30,18.5,377,Premium,7.23,12.68,42.35,0.7,300,3.58,59.89,3064.68,915,58.06,21.1,84.02,1239.85
7367,07-10-2022 11:30,19,360,Premium,7.23,12.68,42.35,0.7,300,3.69,62.85,3066.18,915,63.05,21.12,84.66,1236.22
7622,07-10-2022 15:45,17.2,360,Premium,7.23,12.68,42.35,0.7,300,3.36,56.32,3148.44,886,73.14,24.88,77.19,1284.65
7667,07-10-2022 16:30,19,351,Premium,7.23,12.68,42.35,0.7,300,3.55,59.7,3243.29,925,79.06,21.32,83.62,1251.7
7742,07-10-2022 17:45,19.6,354,Premium,7.23,12.68,42.35,0.7,300,3.66,69.27,3170.55,890,80.8,21.53,82.48,1242.36
7743,07-10-2022 17:46,19.6,354,Premium,7.23,12.68,42.35,0.7,300,3.59,60.59,3154.77,891,67.26,22.16,81.62,1237.98
7792,07-10-2022 18:35,18.5,367,Premium,7.23,12.68,42.35,0.7,300,3.58,62.81,3097.21,886,50.98,24.71,79.3,1246.27
7793,07-10-2022 18:36,18.5,367,Premium,7.23,12.68,42.35,0.7,300,3.61,65.89,3166.69,886,56.28,24.29,79.94,1252.41
7849,07-10-2022 19:32,19,362,Premium,7.23,12.68,42.35,0.7,300,3.45,55.23,3022.04,875,52.64,22.81,81.58,1260.28
7851,07-10-2022 19:34,19,362,Premium,7.23,12.68,42.35,0.7,300,3.57,59.16,2806.19,875,59.72,22.36,81.6,1261.36
7917,07-10-2022 20:40,19.5,365,Premium,7.23,12.68,42.35,0.7,300,3.65,56.65,2985.4,856,54.09,21.65,82.74,1262.88
8025,07-10-2022 22:28,20,346,Premium,7.23,12.68,42.35,0.7,300,3.94,56.51,3099.27,906,58.02,23.65,81.04,1252.48
8083,07-10-2022 23:26,18.2,341,Non Premium,7.23,12.68,42.35,0.7,300,3.52,55.65,3135.74,936,67.63,23.45,80.52,1255.88
8135,08-10-2022 00:18,18.8,341,Premium,7.43,12.8,42.35,0.7,307,3.4,52.47,3158.2,924,70.7,23.39,81.13,1261.82
8197,08-10-2022 01:20,20,345,Premium,7.43,12.8,42.35,0.7,307,3.65,56.21,3073.15,906,50.19,23.37,80.76,1268.81
8253,08-10-2022 02:16,19.8,338,Premium,7.43,12.8,42.35,0.7,307,3.61,58.34,3143.06,905,53.11,23.3,81.54,1254.18
8309,08-10-2022 03:12,20.1,346,Premium,7.43,12.8,42.35,0.7,307,3.65,59.26,3079.96,905,41.37,22.04,81.99,1259.13
8429,08-10-2022 05:12,21.5,350,Premium,7.43,12.8,42.35,0.7,307,3.61,58.68,3107.04,896,55.6,24.36,78.44,1271.54
8511,08-10-2022 06:34,23.7,337,Premium,7.43,12.8,42.35,0.7,307,3.57,58.33,2888.14,896,49.43,22.31,79.47,1269.72
8565,08-10-2022 07:28,20.2,349,Premium,7.43,12.8,42.35,0.7,307,3.43,56.08,3090.83,896,57.92,19.74,81.75,1268.92
8621,08-10-2022 08:24,21.4,366,Premium,7.43,12.8,42.35,0.7,307,3.6,57.61,3138.14,896,65.39,21.34,80.82,1263.26
9103,08-10-2022 16:26,21.7,359,Premium,7.43,12.8,42.35,0.7,307,3.23,53.74,3226.32,896,82.52,21.96,71.88,1244.79
9167,08-10-2022 17:30,17.4,377,Premium,7.43,12.8,42.35,0.7,307,3.64,59.35,2897.75,985,45.45,21.46,83.73,1264.43
9221,08-10-2022 18:24,16,380,Premium,7.43,12.8,42.35,0.7,307,3.56,58.81,3079.07,995,57.96,22.83,80.84,1255.24
9277,08-10-2022 19:20,16.9,373,Premium,7.43,12.8,42.35,0.7,307,3.6,58.84,3140.46,995,54.09,22.07,81.85,1254.06
9341,08-10-2022 20:24,17.8,345,Premium,7.43,12.8,42.35,0.7,307,3.63,56.88,3095.85,916,79.08,22.85,80.91,1253.37
9399,08-10-2022 21:22,20.3,341,Premium,7.43,12.8,42.35,0.7,307,3.66,59.65,3169.3,915,51.33,21.75,83.34,1256.88
9462,08-10-2022 22:25,23.5,340,Non Premium,7.43,12.8,42.35,0.7,307,3.92,63.58,3192.65,865,60.82,22.5,81.67,1234.86
9501,08-10-2022 23:04,18.9,350,Premium,7.43,12.8,42.35,0.7,307,3.6,55.27,1841.55,816,131.02,24.4,62.6,1330.26
9579,09-10-2022 00:22,19.1,356,Non Premium,7.44,12.9,42.35,0.7,310,3.43,55.08,3315.43,876,57.79,23.05,80.66,1251.44
9639,09-10-2022 01:22,16.5,396,Non Premium,7.44,12.9,42.35,0.7,310,3.44,59.87,3134.38,865,48.77,21.93,81.92,1252.95
9699,09-10-2022 02:22,20.1,343,Non Premium,7.44,12.9,42.35,0.7,310,3.43,58.45,3261.93,856,48.91,22.98,79.76,1264.76
9772,09-10-2022 03:35,21.4,327,Non Premium,7.44,12.9,42.35,0.7,310,4.05,69.71,3092.88,837,69.6,21.14,83.22,1257.29
9835,09-10-2022 04:38,22,330,Non Premium,7.44,12.9,42.35,0.7,310,4.23,71.14,3171.67,846,74.01,22.56,80.94,1238.8
9887,09-10-2022 05:30,21.2,334,Non Premium,7.44,12.9,42.35,0.7,310,3.85,66.22,3161.97,846,56.76,21.5,82.32,1253.54
9941,09-10-2022 06:24,21.7,340,Non Premium,7.44,12.9,42.35,0.7,310,3.87,70.09,3223.84,856,51.13,22.47,82.34,1242.73
10005,09-10-2022 07:28,23,343,Non Premium,7.44,12.9,42.35,0.7,310,3.87,65.46,3179.44,837,86.89,23.9,75.73,1270.56
10065,09-10-2022 08:28,24.6,348,Non Premium,7.44,12.9,42.35,0.7,310,3.8,64.55,2953.43,871,58.23,23.25,79.34,1269.03
10123,09-10-2022 09:26,22.9,347,Non Premium,7.44,12.9,42.35,0.7,310,3.81,64.95,3088.01,886,59.93,22.92,80.62,1267.6
10185,09-10-2022 10:28,21.4,346,Non Premium,7.44,12.9,42.35,0.7,310,4.05,68.48,2797.79,886,68.03,20.72,85.12,1272.11
10237,09-10-2022 11:20,18.2,347,Non Premium,7.44,12.9,42.35,0.7,310,3.87,64.95,3087.71,896,80.72,22.6,81.93,1229.61
10422,09-10-2022 14:25,18.4,343,Premium,7.44,12.9,42.35,0.7,310,3.46,62.89,2868.25,896,78.3,22.3,74.4,1275.8
10483,09-10-2022 15:26,21,345,Premium,7.44,12.9,42.35,0.7,310,3.91,66.65,2988.06,896,59.8,21.56,81.82,1234.45
10549,09-10-2022 16:32,17.8,360,Premium,7.44,12.9,42.35,0.7,310,3.81,66.19,3019.57,936,77.72,20.29,84.88,1213.08
10597,09-10-2022 17:20,18.5,363,Premium,7.44,12.9,42.35,0.7,310,4.05,66.33,3122.62,945,56.57,20.93,83.54,1200.04
10657,09-10-2022 18:20,16.9,361,Premium,7.44,12.9,42.35,0.7,310,3.87,68.41,3079.73,945,70.63,21.8,84.1,1202.78
10722,09-10-2022 19:25,21.5,340,Premium,7.44,12.9,42.35,0.7,310,3.94,66.32,3135.67,915,60.63,21.27,82.88,1210.17
10779,09-10-2022 20:22,19.9,346,Premium,7.44,12.9,42.35,0.7,310,2.9,66.78,2852.44,896,74.47,22.13,81.14,1213.96
10841,09-10-2022 21:24,18.7,340,Premium,7.44,12.9,42.35,0.7,310,2.8,67.5,2831.94,897,89.73,21.58,83.02,1212.67
10911,09-10-2022 22:34,19.5,356,Premium,7.44,12.9,42.35,0.7,310,4.4,67.03,3207.14,896,73.18,21.99,81.83,1234.04
10962,09-10-2022 23:25,22.8,323,Non Premium,7.44,12.9,42.35,0.7,310,4.11,63,3123.59,887,70.43,22.6,81.95,1258.46
11025,10-10-2022 00:28,18.6,360,Premium,6.87,12.95,42.35,0.7,314,4.49,67.15,3253.85,875,78.3,21.03,82.36,1238.24
11091,10-10-2022 01:34,19.9,343,Premium,6.87,12.95,42.35,0.7,314,4.47,67.28,3274.03,875,98.55,24.48,80.16,1248.02
11149,10-10-2022 02:32,19.8,347,Premium,6.87,12.95,42.35,0.7,314,4.54,68.37,2471.91,876,122.32,20.62,83.21,1230.06
11205,10-10-2022 03:28,20,354,Non Premium,6.87,12.95,42.35,0.7,314,4.55,67.5,3284.76,875,80.43,22.74,80.02,1214.85
11259,10-10-2022 04:22,19.8,342,Non Premium,6.87,12.95,42.35,0.7,314,4.3,67.15,2398,871,127.38,19.39,85.06,1244.54
11319,10-10-2022 05:22,23.4,340,Non Premium,6.87,12.95,42.35,0.7,314,4.49,67.18,3447.52,855,81.11,24.73,77.55,1234.85
11383,10-10-2022 06:26,23.6,345,Non Premium,6.87,12.95,42.35,0.7,314,4.44,68.18,,847,103.93,20.46,83.79,1254.54
11445,10-10-2022 07:28,21.2,333,Non Premium,6.87,12.95,42.35,0.7,314,4.15,63.49,3339.24,837,68.52,22.49,80.12,1250.46
11679,10-10-2022 11:22,23.4,334,Non Premium,6.87,12.95,42.35,0.7,314,4.24,66.35,3117.06,856,64.11,,83.22,1269.42
11745,10-10-2022 12:28,23.4,338,Non Premium,6.87,12.95,42.35,0.7,314,4.2,64.54,3194.14,,63.24,22.54,82.06,1261.22
11817,10-10-2022 13:40,21,347,Non Premium,6.87,12.95,42.35,0.7,314,4.24,64.95,3294.97,886,80.14,20.32,83.65,1257.27
11877,10-10-2022 14:40,18.5,354,Non Premium,6.87,12.95,42.35,0.7,314,4.23,65.08,3294.45,915,49.72,20.3,83.39,1236.54
11937,10-10-2022 15:40,17.3,356,Non Premium,6.87,12.95,42.35,0.7,314,4.03,64.71,,915,78.88,21.04,82.29,1246.55
11997,10-10-2022 16:40,17.8,364,Non Premium,6.87,12.95,42.35,0.7,314,2.84,63.52,3086.39,945,52.93,21.85,79.71,1216.94
12575,11-10-2022 02:18,20,360,Premium,7.09,12.8,42.35,0.7,300,4.05,64.01,3081.92,846,73.53,30.36,69.2,1253.91
12643,11-10-2022 03:26,20.8,364,Premium,7.09,12.8,42.35,0.7,300,4.1,64.64,3156.66,896,80.16,21.38,83.44,1276.36
12705,11-10-2022 04:28,19.8,369,Premium,7.09,12.8,42.35,0.7,300,4.15,66.28,2269.09,896,112.07,21.53,81.69,1290.74
12762,11-10-2022 05:25,18.4,352,Premium,7.09,12.8,42.35,0.7,300,4.22,65.02,3131.24,896,97.91,21.58,82.98,1261.72
12822,11-10-2022 06:25,19.7,357,Premium,7.09,12.8,42.35,0.7,300,4.36,67.5,3182.94,896,74.2,21.61,83.31,1249.04
12892,11-10-2022 07:35,20.2,377,Premium,7.09,12.8,42.35,0.7,300,4.18,64.38,3237.84,896,54.36,20.61,82.77,1258.08
12942,11-10-2022 08:25,19.2,340,Premium,7.09,12.8,42.35,0.7,300,4.15,62.64,3287.59,875,68.54,23.39,80.25,1250.55
13000,11-10-2022 09:23,20.8,368,Premium,7.09,12.8,42.35,0.7,300,4.17,63.53,3083.99,875,69.74,22.13,82.33,1245.04
13059,11-10-2022 10:22,21,366,Non Premium,7.09,12.8,42.35,0.7,300,4.07,62.64,3108,875,70.76,21.6,82.16,1253.74
13122,11-10-2022 11:25,19,381,Non Premium,7.09,12.8,42.35,0.7,300,4.11,62.88,3189.69,896,60.63,22.32,81.35,1222.58
13179,11-10-2022 12:22,21.2,371,Non Premium,7.09,12.8,42.35,0.7,300,4.18,64.14,3154.9,896,80.55,23.32,79.98,1229.53
13239,11-10-2022 13:22,20.8,363,Non Premium,7.09,12.8,42.35,0.7,300,4.17,62.63,3159.43,896,57.65,21.84,83.6,1230.82
13301,11-10-2022 14:24,19.1,364,Premium,7.09,12.8,42.35,0.7,300,4.02,62.67,3182.41,945,82.44,22.96,82.81,1219.69
13361,11-10-2022 15:24,18.3,371,Premium,7.09,12.8,42.35,0.7,300,4.01,62.8,3176.46,945,81.11,20.27,86.1,1236.34
13425,11-10-2022 16:28,18.2,369,Premium,7.09,12.8,42.35,0.7,300,3.94,61.55,3124.12,945,53.94,22.01,83.26,1231.93
13857,11-10-2022 23:40,22,354,Premium,7.09,12.8,42.35,0.7,300,3.58,54.45,2219.59,866,108.55,22.63,74.05,1302.29
13902,12-10-2022 00:25,20.5,378,Premium,7.34,12.83,42.35,0.7,341,4.06,60.21,3224.24,896,56.35,20.93,84.26,1276.56
13965,12-10-2022 01:28,18,386,Premium,7.34,12.83,42.35,0.7,341,4.06,62.79,3006.04,945,57.03,19.15,86.24,1260.97
14033,12-10-2022 02:36,19.5,376,Premium,7.34,12.83,42.35,0.7,341,3.85,64.56,2921.35,925,75.98,21.93,83.68,1254.9
14092,12-10-2022 03:35,21,354,Premium,7.34,12.83,42.35,0.7,341,3.79,64.05,2887.54,925,87.04,19.85,85.42,1250.42
14152,12-10-2022 04:35,21.7,362,Premium,7.34,12.83,42.35,0.7,341,3.86,64.52,3001.66,925,71.88,21.16,83.54,1249.12
14211,12-10-2022 05:34,19.1,361,Premium,7.34,12.83,42.35,0.7,341,3.92,64.9,3023.06,915,75.19,20.95,82.79,1247.9
14261,12-10-2022 06:24,18,383,Premium,7.34,12.83,42.35,0.7,341,4,65.76,3215.67,915,62.23,20.61,84.87,1230.14
14322,12-10-2022 07:25,17.8,379,Premium,7.34,12.83,42.35,0.7,341,3.79,61.71,3011.64,887,55.83,21.89,81.48,1234.72
14377,12-10-2022 08:20,19.1,363,Premium,7.34,12.83,42.35,0.7,341,3.93,65.35,3218.05,887,76.95,21.85,82.51,1224.35
14449,12-10-2022 09:32,19.8,372,Premium,7.34,12.83,42.35,0.7,341,3.98,64.31,2922.77,872,67.11,21.15,84.1,1235.73
14497,12-10-2022 10:20,20.5,366,Non Premium,7.34,12.83,42.35,0.7,341,3.94,66.82,3174.52,887,58.29,21.04,81.04,1227.34
14570,12-10-2022 11:33,21.7,358,Non Premium,7.34,12.83,42.35,0.7,341,3.81,65.53,3180.36,896,57.38,22.48,82.52,1256.5
14621,12-10-2022 12:24,20.3,381,Non Premium,7.34,12.83,42.35,0.7,341,4,67.14,3042.4,915,76.41,21.12,83.09,1233.9
14678,12-10-2022 13:21,18.6,386,Non Premium,7.34,12.83,42.35,0.7,341,3.88,68.29,2933.83,915,64.36,21.36,84.13,1221.58
14748,12-10-2022 14:31,19,387,Non Premium,7.34,12.83,42.35,0.7,341,4.05,68.37,3149.36,915,55.5,19.88,84.27,1216.86
14809,12-10-2022 15:32,20.1,391,Non Premium,7.34,12.83,42.35,0.7,341,3.95,68.21,3203.46,925,60.09,22.14,80.37,1224.6
14867,12-10-2022 16:30,20,395,Non Premium,7.34,12.83,42.35,0.7,341,3.86,66.88,3251.09,925,59.02,21.09,82.86,1230.97
14927,12-10-2022 17:30,17.2,405,Non Premium,7.34,12.83,42.35,0.7,341,3.9,67.07,3056.31,925,59.02,20.69,84.93,1227.79
14987,12-10-2022 18:30,19.2,380,Non Premium,7.34,12.83,42.35,0.7,341,3.84,67.23,3063.5,896,51.69,23.46,80.26,1232.1
15050,12-10-2022 19:33,20.3,377,Non Premium,7.34,12.83,42.35,0.7,341,3.96,69.39,3134.22,866,64.3,22.64,80.83,1235.06
15110,12-10-2022 20:33,20,372,Non Premium,7.34,12.83,42.35,0.7,341,4.2,69.29,3151.29,875,66.14,23.12,80.88,1232.88
15157,12-10-2022 21:20,21.4,380,Non Premium,7.34,12.83,42.35,0.7,341,3.95,66.52,3221.61,915,67.2,21.91,81.39,1228.59
15221,12-10-2022 22:24,20.6,390,Non Premium,7.34,12.83,42.35,0.7,341,3.98,68,3234.26,915,56.59,20.94,83.9,1239.82
15339,13-10-2022 00:22,20.8,374,Premium,7.21,12.81,42.35,0.7,314,3.69,63.4,3238.04,925,60.92,22.51,81.76,1253.53
15401,13-10-2022 01:24,17.5,361,Premium,7.21,12.81,42.35,0.7,314,3.81,64.91,3215.88,945,59.95,22.63,82.16,1239.98
15465,13-10-2022 02:28,18.2,377,Premium,7.21,12.81,42.35,0.7,314,3.83,64.4,3256.69,925,47.98,24.09,80.23,1253.86
15517,13-10-2022 03:20,17.8,372,Premium,7.21,12.81,42.35,0.7,314,3.77,64.04,3217.93,915,86.39,24.27,80.22,1252.32
15587,13-10-2022 04:30,18.3,374,Premium,7.21,12.81,42.35,0.7,314,3.89,62.96,3210.82,905,66.39,23.39,81.24,1257.64
15650,13-10-2022 05:33,19,369,Premium,7.21,12.81,42.35,0.7,314,3.85,62.79,3135.59,896,55.41,22.38,81.89,1264.53
15702,13-10-2022 06:25,19.2,350,Premium,7.21,12.81,42.35,0.7,314,3.83,63.64,3292.76,875,76.83,22.79,76.29,1269.81
15759,13-10-2022 07:22,18.2,372,Premium,7.21,12.81,42.35,0.7,314,3.92,62.72,3024.62,865,75.94,23.19,80.97,1244.5
15835,13-10-2022 08:38,18.8,354,Premium,7.21,12.81,42.35,0.7,314,3.83,61.79,3062.54,866,66.51,19.97,85.43,1254.69
15879,13-10-2022 09:22,19.5,350,Premium,7.21,12.81,42.35,0.7,314,3.86,62.66,3101.27,865,67.13,22.01,81.23,1255.61
15951,13-10-2022 10:34,20.1,357,Premium,7.21,12.81,42.35,0.7,314,3.93,63.32,3022.42,860,79.06,22.75,81.71,1249.92
15999,13-10-2022 11:22,21,353,Premium,7.21,12.81,42.35,0.7,314,3.7,61.42,3275.03,866,68.25,21.02,83.35,1267.78
16067,13-10-2022 12:30,21,356,Premium,7.21,12.81,42.35,0.7,314,3.59,59.37,2810.89,876,106.25,29.21,64.74,1265.75
16122,13-10-2022 13:25,20.7,370,Premium,7.21,12.81,42.35,0.7,314,3.76,66.52,3213.32,915,66.39,21.42,82.89,1212.19
16188,13-10-2022 14:31,20.4,350,Premium,7.21,12.81,42.35,0.7,314,3.83,65.09,3220.17,875,62.54,23.1,80,1255.52
16250,13-10-2022 15:33,19.9,365,Premium,7.21,12.81,42.35,0.7,314,3.87,64.34,3116.42,896,76.18,21.73,82.4,1251.01
16308,13-10-2022 16:31,20,356,Premium,7.21,12.81,42.35,0.7,314,3.65,60.73,2994.34,896,61.65,21.57,83.03,1257.01
16368,13-10-2022 17:31,20.6,368,Premium,7.21,12.81,42.35,0.7,314,3.72,59.69,3255.68,887,66.66,23.49,80.57,1259
16428,13-10-2022 18:31,20.3,371,Premium,7.21,12.81,42.35,0.7,314,3.8,64.35,3197.95,896,55.5,21.28,82.44,1265.3
16488,13-10-2022 19:31,20,359,Premium,7.21,12.81,42.35,0.7,314,3.83,62.38,2975.22,856,65.85,21.97,82.17,1263.45
16547,13-10-2022 20:30,20.1,361,Premium,7.21,12.81,42.35,0.7,314,3.71,63.72,3201,896,73.89,22.85,80.34,1263.17
16605,13-10-2022 21:28,20,365,Premium,7.21,12.81,42.35,0.7,314,3.61,60.74,3101.55,830,84.74,22.16,80.07,1267.39
16659,13-10-2022 22:22,20.4,358,Non Premium,7.21,12.81,42.35,0.7,314,3.78,63.83,3103.86,878,61.96,20.99,83.31,1277.3
16721,13-10-2022 23:24,18.1,387,Non Premium,7.21,12.81,42.35,0.7,314,3.7,61.32,3219.54,896,64.24,21.76,85.83,1271.77
16775,14-10-2022 00:18,19.6,388,Non Premium,7,12.77,42.35,0.7,291,3.62,60.06,3149.36,896,57.73,,86.38,1280.53
16840,14-10-2022 01:23,19.1,353,Non Premium,7,12.77,42.35,0.7,291,3.71,61.61,3294.8,896,67.59,20.5,86.44,1276.96
16905,14-10-2022 02:28,19.8,355,Non Premium,7,12.77,42.35,0.7,291,3.69,62.07,3219.87,896,59.82,22.12,84.35,1267.37
16965,14-10-2022 03:28,20.4,369,Non Premium,7,12.77,42.35,0.7,291,3.78,62.46,3188.4,896,53.96,20.9,85.33,1270.96
17021,14-10-2022 04:24,21.2,382,Non Premium,7,12.77,42.35,0.7,291,3.66,60.93,3127.85,896,65.52,19.94,87.74,1278.32
17079,14-10-2022 05:22,21.5,368,Non Premium,7,12.77,42.35,0.7,291,3.7,60.47,3156.42,896,59.58,21.05,85.41,1276.33
