Date,Quantity
20-03-2023,8.81
20-03-2023,2.52
21-03-2023,3.01
21-03-2023,2.98
21-03-2023,3
21-03-2023,3.73
21-03-2023,3.81
22-03-2023,2.02
22-03-2023,0.51
23-03-2023,10.12
23-03-2023,2.51
23-03-2023,10.19
24-03-2023,2.16
24-03-2023,5.92
25-03-2023,2.43
25-03-2023,5.01
28-03-2023,10.19
28-03-2023,0.98
29-03-2023,5.01
29-03-2023,0.17
30-03-2023,10.19
30-03-2023,10.19
30-03-2023,3.59
30-03-2023,4.53
31-03-2023,0.42
31-03-2023,4.99
31-03-2023,3.74
13-02-2021,5.1
17-02-2021,5.04
27-02-2021,1.39
27-02-2021,0.39
08-04-2021,1.14
12-05-2021,5.22
27-05-2021,9.99
28-05-2021,-3.01
13-07-2021,10.19
30-09-2021,8.85
04-10-2021,4.98
07-10-2021,10.19
27-10-2021,5.03
16-11-2021,10.19
18-11-2021,0.631
18-11-2021,0.2
27-12-2021,9.94
03-01-2022,5.07
29-01-2022,9.95
25-04-2022,10.19
03-05-2022,1.74
09-06-2022,8.87
25-08-2022,9
12-09-2022,10.12
16-09-2022,7.55
28-09-2022,10.19
29-09-2022,5.12
29-09-2022,1.44
29-09-2022,0.391
11-10-2022,10.19
01-11-2022,3.83
21-11-2022,3.85
23-11-2022,4.42
28-11-2022,4.37
21-12-2022,3.6
21-12-2022,10.05
27-12-2022,4.05
06-01-2023,9.94
16-01-2023,4.93
19-01-2023,10.19
20-01-2023,3.86
24-01-2023,3.57
07-03-2023,
10-03-2023,
23-03-2023,
25-03-2023,
30-03-2023,
